Name,Type,Constellation,Magnitude,RAHour,RAMinute,DecSign,DecDeg,DecMinute
UGC 182,Galaxy,Psc,15,0,19.5,+,6,25
UGC 185,Galaxy,And,14,0,19.6,+,29,56
MCG 4-2-3,Galaxy,And,15,0,21,+,22,34
UGC 203,Galaxy,And,12.1,0,21.2,+,22,21
UGC 206,Galaxy,And,12.6,0,21.4,+,22,26
MCG 4-2-9,Galaxy,And,15,0,21.5,+,22,33
UGC 209,Galaxy,And,14,0,22,+,22,25
ZWG 479. 17,Galaxy,And,15,0,22.2,+,22,28
UGC 214,Galaxy,Psc,12.6,0,22.2,+,10,30
UGC 216,Galaxy,And,13,0,22.4,+,29,44
UGC 230,Galaxy,Psc,14,0,24,+,15,47
ESO 350-14,Galaxy,Scl,13,0,23.9,-,32,34
MCG 2-2-11,Galaxy,Cet,14,0,24.4,-,13,57
OCL 291,Open Cluster,Cas,9.8,0,25.3,+,61,21
47 Tucanae,Globular Cluster,Tuc,4,0,24.1,-,72,5
UGC 241,Galaxy,Psc,13.2,0,25.3,+,12,53
UGC 246,Galaxy,And,13,0,25.9,+,29,13
UGC 251,Galaxy,And,15,0,26.2,+,21,49
UGC 255,Galaxy,And,14,0,26.7,+,31,43
MCG 1-2-16,Galaxy,Cet,13,0,27,-,2,30
UGC 259,Galaxy,Cet,15,0,27.1,-,1,47
MCG 1-2-17,Galaxy,Cet,14,0,27.2,-,7,42
MCG 0-2-29,Galaxy,Cet,15,0,27.2,+,1,19
UGC 264,Galaxy,Cet,15,0,27.3,-,1,47
UGC 267,Galaxy,Cet,15,0,27.5,-,1,31
ESO 50-SC12,Globular Cluster,Tuc,10.6,0,26.8,-,71,32
UGC 271,Galaxy,Cet,14,0,27.9,-,1,49
UGC 286,Galaxy,Psc,12.3,0,28.8,+,2,50
MCG 0-2-50,Galaxy,Psc,14,0,29.2,+,2,52
UGC 292,Galaxy,Psc,11.6,0,29.2,+,2,51
OCL 294,Open Cluster,Cas,6.5,0,29.9,+,60,14
MCG 0-2-52,Galaxy,Psc,14.3,0,29.3,+,2,52
UGC 301,Galaxy,Cet,14,0,30.2,+,2,6
OCL 296,Open Cluster,Cas,9,0,31.2,+,63,22
ESO 350-23,Galaxy,Scl,10.1,0,30.4,-,33,15
UGC 309,Galaxy,Psc,14,0,31.1,+,10,11
UGC 308,Galaxy,Psc,15,0,31,+,5,10
ZWG 409. 22,Galaxy,Psc,15,0,31,+,5,5
UGC 311,Galaxy,And,14,0,31.3,+,30,47
ZWG 409. 27,Galaxy,Psc,15,0,31.4,+,5,11
ESO 473-21,Galaxy,Cet,14,0,31.3,-,22,37
ESO 473-22,Galaxy,Cet,15,0,31.4,-,22,34
ESO 473-23,Galaxy,Cet,14,0,31.4,-,22,39
Arp 19,Galaxy,Cet,12.8,0,31.7,-,5,9
OCL 299,Open Cluster,Cas,9.1,0,33.1,+,63,18
UGC 326;D3,Galaxy,Cas,9.3,0,33.2,+,48,30
ESO 410-20,Galaxy,Scl,12.1,0,34.3,-,31,47
UGC 332,Galaxy,And,15,0,33.7,+,30,43
A 7,Galaxy,Scl,11.1,0,34.3,-,27,48
NGC 153,Galaxy,Cet,11.5,0,34,-,9,42
ESO 28-SC24,Globular Cluster,Tuc,12,0,32.8,-,73,9
MCG 2-2-53,Galaxy,Cet,14,0,34.1,-,12,39
MCG 2-2-55,Galaxy,Cet,13,0,34.7,-,10,46
MCG 2-2-56,Galaxy,Cet,10.4,0,34.8,-,8,24
UGC 356,Galaxy,And,12.4,0,36.1,+,23,57
IC 1557,Galaxy,Cet,15,0,35.5,-,2,50
MCG 2-2-66,Galaxy,Cet,12.8,0,36,-,10,7
MCG 2-2-69,Galaxy,Cet,13.2,0,36.5,-,10,6
MCG 2-2-63,Galaxy,Cet,15,0,35.8,-,13,37
ESO 473-29,Galaxy,Cet,13,0,35.3,-,23,22
ESO 474-4,Galaxy,Cet,14,0,36.7,-,22,36
UGC 365;Arp 282,Galaxy,And,13,0,36.9,+,23,59
MCG 0-2-91,Galaxy,Cet,15,0,36.7,+,1,51
UGC 369,Galaxy,Cet,15,0,37.2,+,1,56
ESO 411-1,Galaxy,Scl,14,0,36.9,-,29,29
NGC 171,Galaxy,Cet,12.1,0,37.4,-,19,56
ESO 29-SC2,Open Cluster,Tuc,12,0,35.8,-,73,11
ESO 474-6,Galaxy,Cet,13,0,37.5,-,22,34
IC 39,Galaxy,Cet,12.6,0,39.1,-,14,10
ESO 540-7,Galaxy,Cet,14,0,37.8,-,17,53
UGC 380,Galaxy,Psc,14,0,38,+,8,38
MCG 5-2-32,Galaxy,And,15,0,38.2,+,29,28
UGC 382,Galaxy,Psc,12.6,0,38.2,+,2,44
UGC 387,Galaxy,And,14,0,38.3,+,29,30
ZWG 500. 59,Galaxy,And,15,0,38.5,+,29,26
UGC 396,Galaxy,Cas,9.2,0,39,+,48,20
